Time changed (s), Apple correct (T/F), Apple time clicked (s), MSFT correct (T/F), MSFT time clicked (s)
126.2828, True, 130.9953, True, 131.7797
136.2799, True, 140.962, True, 141.6128
146.2779, True, 151.0601, True, 150.3263
156.281, True, 213.5229, True, 214.5564
218.3082, False, 223.7257, False, 224.5361
228.3168, True, 233.5293, True, 234.7099
