Timestamp (s), App Name, Frame of Reference, Position (x, y, z), Scale (x, y, z), Rotation (x, y, z), Transparency, Visible
125.6744, Book1, Body, (-0.49, 0.52, 3.30), , (-8.64, -7.97, -0.48), 0.8009619, True
125.6744, Book2, Body, (0.70, 0.51, 3.14), , (-9.45, 12.30, -0.48), 0.98, True
125.6744, Stocks, , , , , , False
125.6744, LibraryMap, , , , , , False
125.6744, TextApp, , , , , , False
139.9088, Book1, , (-0.68, 0.70, 3.23), , (-11.83, -11.33, -1.22), , 
139.9088, Book2, , (0.52, 0.69, 3.14), , (-12.64, 8.94, -1.22), , 
139.9088, Stocks, None, (-2.80, -0.11, -1.20), , (10.07, -107.61, 0.00), , True
